Time,Float_Position,Float_Angle,Posit_Position,Posit_Angle,Quire_Position,Quire_Angle
0,0,0.1,0,0.1,0,0.1
0.02,0,0.1,0,0.1,0,0.1
0.04,0.00076076,0.0992633,0.00076076,0.0992633,0.00076076,0.0992633
0.06,0.0022609,0.0978326,0.0022609,0.0978326,0.0022609,0.0978326
0.08,0.00447566,0.0957517,0.00447566,0.0957517,0.00447566,0.0957517
0.1,0.00737719,0.0930651,0.00737719,0.093065,0.00737719,0.093065
0.12,0.0109348,0.0898177,0.0109348,0.0898177,0.0109348,0.0898177
0.14,0.0151152,0.0860551,0.0151152,0.0860551,0.0151152,0.0860551
0.16,0.019883,0.0818227,0.019883,0.0818227,0.019883,0.0818227
0.18,0.0252006,0.077166,0.0252006,0.077166,0.0252006,0.077166
0.2,0.0310287,0.0721304,0.0310287,0.0721304,0.0310287,0.0721304
0.22,0.0373267,0.0667607,0.0373267,0.0667607,0.0373267,0.0667607
0.24,0.0440526,0.0611012,0.0440526,0.0611012,0.0440526,0.0611012
0.26,0.0511635,0.0551957,0.0511635,0.0551957,0.0511635,0.0551957
0.28,0.0586158,0.0490867,0.0586158,0.0490867,0.0586158,0.0490867
0.3,0.0663656,0.0428162,0.0663656,0.0428162,0.0663656,0.0428162
0.32,0.0743685,0.0364246,0.0743685,0.0364246,0.0743685,0.0364246
0.34,0.0825802,0.0299512,0.0825802,0.0299512,0.0825802,0.0299512
0.36,0.0909568,0.0234342,0.0909568,0.0234342,0.0909568,0.0234342
0.38,0.0994545,0.0169098,0.0994545,0.0169098,0.0994545,0.0169098
0.4,0.10803,0.0104132,0.10803,0.0104132,0.10803,0.0104132
0.42,0.116642,0.00397737,0.116642,0.00397738,0.116642,0.00397738
0.44,0.125249,-0.00236596,0.125249,-0.00236596,0.125249,-0.00236596
0.46,0.133809,-0.00858709,0.133809,-0.00858709,0.133809,-0.00858709
0.48,0.142286,-0.0146581,0.142286,-0.0146581,0.142286,-0.0146581
0.5,0.150641,-0.020553,0.150641,-0.020553,0.150641,-0.020553
0.52,0.158838,-0.0262476,0.158838,-0.0262476,0.158838,-0.0262476
0.54,0.166843,-0.0317198,0.166843,-0.0317198,0.166843,-0.0317198
0.56,0.174624,-0.0369493,0.174624,-0.0369493,0.174624,-0.0369493
0.58,0.18215,-0.041918,0.18215,-0.041918,0.18215,-0.041918
0.6,0.189393,-0.0466094,0.189393,-0.0466094,0.189393,-0.0466094
0.62,0.196325,-0.0510093,0.196325,-0.0510093,0.196325,-0.0510093
0.64,0.202922,-0.0551054,0.202922,-0.0551053,0.202922,-0.0551053
0.66,0.209162,-0.0588869,0.209162,-0.0588869,0.209162,-0.0588869
0.68,0.215025,-0.0623455,0.215025,-0.0623455,0.215025,-0.0623455
0.7,0.220491,-0.0654743,0.220491,-0.0654743,0.220491,-0.0654743
0.72,0.225545,-0.0682683,0.225545,-0.0682683,0.225545,-0.0682683
0.74,0.230173,-0.0707243,0.230173,-0.0707243,0.230173,-0.0707243
0.76,0.234364,-0.0728408,0.234364,-0.0728408,0.234364,-0.0728408
0.78,0.238108,-0.0746178,0.238107,-0.0746178,0.238107,-0.0746178
0.8,0.241396,-0.076057,0.241396,-0.076057,0.241396,-0.076057
0.82,0.244225,-0.0771617,0.244225,-0.0771617,0.244225,-0.0771617
0.84,0.24659,-0.0779363,0.24659,-0.0779363,0.24659,-0.0779363
0.86,0.24849,-0.0783867,0.24849,-0.0783867,0.24849,-0.0783867
0.88,0.249926,-0.0785202,0.249926,-0.0785202,0.249926,-0.0785202
0.9,0.2509,-0.0783452,0.2509,-0.0783452,0.2509,-0.0783452
0.92,0.251417,-0.0778711,0.251417,-0.0778711,0.251417,-0.0778711
0.94,0.251482,-0.0771084,0.251482,-0.0771084,0.251482,-0.0771084
0.96,0.251102,-0.0760685,0.251102,-0.0760685,0.251102,-0.0760685
0.98,0.250288,-0.0747638,0.250288,-0.0747638,0.250288,-0.0747638
1,0.249049,-0.0732072,0.249049,-0.0732072,0.249049,-0.0732072
1.02,0.247398,-0.0714126,0.247398,-0.0714126,0.247398,-0.0714126
1.04,0.245347,-0.0693941,0.245347,-0.0693941,0.245347,-0.0693941
1.06,0.242912,-0.0671667,0.242912,-0.0671666,0.242912,-0.0671666
1.08,0.240108,-0.0647454,0.240108,-0.0647454,0.240108,-0.0647454
1.1,0.236951,-0.062146,0.236951,-0.062146,0.236951,-0.062146
1.12,0.233459,-0.0593841,0.233459,-0.0593841,0.233459,-0.0593841
1.14,0.22965,-0.0564759,0.229649,-0.0564759,0.229649,-0.0564759
1.16,0.225542,-0.0534374,0.225542,-0.0534373,0.225542,-0.0534373
1.18,0.221156,-0.0502847,0.221156,-0.0502846,0.221156,-0.0502846
1.2,0.216511,-0.0470339,0.216511,-0.0470338,0.216511,-0.0470338
1.22,0.211628,-0.0437009,0.211628,-0.0437009,0.211628,-0.0437009
1.24,0.206527,-0.0403017,0.206527,-0.0403016,0.206527,-0.0403016
1.26,0.201229,-0.0368516,0.201229,-0.0368516,0.201229,-0.0368516
1.28,0.195755,-0.033366,0.195755,-0.0333659,0.195755,-0.0333659
1.3,0.190126,-0.0298597,0.190126,-0.0298596,0.190126,-0.0298597
1.32,0.184364,-0.0263472,0.184363,-0.0263472,0.184363,-0.0263472
1.34,0.178488,-0.0228426,0.178487,-0.0228426,0.178487,-0.0228426
1.36,0.172519,-0.0193594,0.172519,-0.0193593,0.172519,-0.0193593
1.38,0.166478,-0.0159105,0.166478,-0.0159105,0.166478,-0.0159105
1.4,0.160384,-0.0125084,0.160384,-0.0125084,0.160384,-0.0125084
1.42,0.154257,-0.00916491,0.154257,-0.00916488,0.154257,-0.00916488
1.44,0.148116,-0.00589118,0.148116,-0.00589115,0.148116,-0.00589115
1.46,0.141979,-0.00269772,0.141979,-0.00269769,0.141979,-0.00269769
1.48,0.135864,0.000405645,0.135864,0.000405671,0.135864,0.00040567
1.5,0.129788,0.0034098,0.129788,0.00340982,0.129788,0.00340982
1.52,0.123768,0.00630633,0.123768,0.00630635,0.123768,0.00630635
1.54,0.117818,0.00908756,0.117818,0.00908758,0.117818,0.00908758
1.56,0.111955,0.0117465,0.111954,0.0117466,0.111954,0.0117466
1.58,0.106191,0.014277,0.106191,0.0142771,0.106191,0.0142771
1.6,0.10054,0.0166736,0.10054,0.0166736,0.10054,0.0166736
1.62,0.0950148,0.0189315,0.0950147,0.0189315,0.0950147,0.0189315
1.64,0.0896263,0.0210467,0.0896262,0.0210467,0.0896262,0.0210467
1.66,0.084385,0.0230159,0.0843849,0.0230159,0.0843849,0.0230159
1.68,0.0793006,0.0248365,0.0793005,0.0248365,0.0793005,0.0248365
1.7,0.0743818,0.0265067,0.0743817,0.0265067,0.0743817,0.0265067
1.72,0.0696363,0.0280251,0.0696362,0.0280251,0.0696362,0.0280251
1.74,0.0650709,0.0293913,0.0650708,0.0293913,0.0650708,0.0293913
